product_id,store_id,date,sales_quantity,price,promotions,seasonality_factors,external_factors,demand_trend,customer_segments,price_opt,competitor_prices,elasticity_index,has_pricing_data,price_vs_competitor_pct,discount_pct,promo_flag,revenue,promo_x_elasticity,daily_sales_lag_7,daily_sales_lag_14,daily_rolling_mean_7,daily_rolling_std_7,forecasted_demand,stock_levels,supplier_lead_time_days,stockout_frequency,reorder_point,warehouse_capacity,stockout_risk,overstock_risk
8595,20,2024-12-02,385,14.93,0,Festival,Economic Indicator,Increasing,Premium,,,,0,,,0,5748.05,0.0,10604.0,7553.0,6476.0,2237.843009090077,393.61557472545223,634.0,21.0,10.0,129.0,1560.0,False,False
4898,93,2024-12-03,488,61.19,0,Holiday,Economic Indicator,Stable,Regular,,,,0,,,0,29860.72,0.0,3197.0,4853.0,5619.571428571428,1375.903564588608,481.67610735105956,505.0,10.0,9.0,181.0,4938.0,False,False
2030,2,2024-12-09,483,44.21,0,Festival,Weather,Decreasing,Regular,,,,0,,,0,21353.43,0.0,4609.0,10604.0,7033.857142857143,1857.9523162675075,479.9615988382842,567.0,2.0,18.0,182.0,4896.0,False,False
9072,49,2024-12-11,455,37.45,1,Festival,Competitor Pricing,Stable,Regular,,,,0,,,1,17039.75,0.0,5751.0,5368.0,7632.571428571428,1550.3460750364495,453.9454008695992,281.0,10.0,0.0,116.0,4461.0,True,False
6583,94,2024-12-12,68,95.42,0,Unknown,Economic Indicator,Stable,Budget,,,,0,,,0,6488.56,0.0,9070.0,6715.0,7635.285714285715,1546.5147606026517,67.75259782801055,184.0,3.0,8.0,81.0,1613.0,False,False
1400,23,2024-12-12,220,63.81,0,Holiday,Weather,Increasing,Regular,,,,0,,,0,14038.2,0.0,9070.0,6715.0,7635.285714285715,1546.5147606026517,217.66062893711364,398.0,15.0,3.0,77.0,1913.0,False,False
4605,37,2024-12-17,137,87.58,1,Holiday,Competitor Pricing,Stable,Budget,,,,0,,,1,11998.46,0.0,8650.0,5248.0,6709.0,975.9149553111652,137.78971126080745,896.0,6.0,15.0,29.0,2960.0,False,True
3178,11,2024-12-22,288,92.64,0,Festival,Competitor Pricing,Decreasing,Premium,,,,0,,,0,26680.32,0.0,5932.0,7097.0,6389.714285714285,942.1423661502748,287.15725420326726,949.0,14.0,4.0,13.0,4939.0,False,False
6410,27,2024-12-24,381,81.72,1,Unknown,Competitor Pricing,Stable,Budget,,,,0,,,1,31135.32,0.0,7596.0,8650.0,6679.0,1097.768190466454,381.3979841903729,331.0,6.0,0.0,35.0,3215.0,True,False
9651,71,2024-12-26,384,80.78,0,Festival,Weather,Increasing,Premium,,,,0,,,0,31019.52,0.0,4869.0,6763.0,6723.857142857143,1768.6295474718463,384.7232316661929,558.0,23.0,10.0,43.0,3566.0,False,False
